Policy_ID,Date,Product_Type,Region,Policy_Status,Customer_Segment,Distribution_Channel,Policy_Tenure_Months,Renewal_Count,Written_Premium,Sum_Insured,Claim_Count,Claim_Amount,Total_Expense,Fraud_Flag,Insurance_Risk,Market_Risk,Credit_Risk,Operational_Risk,Catastrophe_Risk,Anomaly_Flag,Season_Flag,Capital_Reserve
POL10001,01/01/2022,Motor,East,Active,Individual,Agent,2,0,9630.25,111325.64,1,8530.48,3315.7,0,5,1,2,6,2,0,Winter,500000000
POL10068,01/01/2022,Motor,Central,Active,SME,Bancassurance,4,0,16134.56,177438.17,3,15158.42,4341.81,0,5,1,4,2,1,0,Winter,500000000
POL10067,01/01/2022,Motor,South,Active,Individual,Online,26,1,17295.14,241409.37,3,12103.14,2519.9,0,5,4,2,9,1,0,Winter,500000000
POL10066,01/01/2022,Motor,North,Cancelled,SME,Bancassurance,2,0,23691.83,220253.45,2,17351.9,5832.93,0,8,1,3,9,2,0,Winter,500000000
POL10065,01/01/2022,Motor,East,Active,Individual,Agent,18,1,13418.2,116871.79,1,11161.26,3626.94,0,4,3,6,6,1,0,Winter,500000000
POL10064,01/01/2022,Property,Central,Active,Individual,Bancassurance,14,1,20678.92,679333.94,2,15159.72,4365.32,0,5,1,2,6,8,0,Winter,500000000
POL10063,01/01/2022,Marine,Central,Renewed,Individual,Direct,37,1,61516.12,2637107.11,1,41111.22,12026.4,0,5,7,5,2,2,0,Winter,500000000
POL10062,01/01/2022,Health,South,Active,Corporate,Agent,1,0,45233.75,503501.31,5,41868.36,11059.65,0,9,5,2,6,1,0,Winter,500000000
POL10061,01/01/2022,Health,Central,Active,Individual,Direct,9,0,12544.14,190887.95,1,11607.09,2232.86,0,8,5,2,3,1,0,Winter,500000000
POL10060,01/01/2022,Property,Central,Active,SME,Direct,3,0,36426.22,1343523.17,3,32852.81,6928.27,0,4,5,2,3,5,0,Winter,500000000
POL10059,01/01/2022,Travel,South,Active,SME,Agent,9,0,8679.44,606111.24,0,0,2716.66,0,3,1,1,7,2,0,Winter,500000000
POL10058,01/01/2022,Marine,Central,Active,SME,Bancassurance,23,0,77608.06,1970506.92,0,0,20116.01,0,7,8,4,6,1,0,Winter,500000000
POL10057,01/01/2022,Health,Central,Cancelled,Corporate,Direct,4,0,51833.26,895248.03,2,45094.94,7935.67,0,10,4,8,1,1,0,Winter,500000000
POL10056,01/01/2022,Health,West,Renewed,Individual,Direct,1,0,20677.62,358051.5,0,0,3496.59,0,6,5,6,10,1,0,Winter,500000000
POL10055,01/01/2022,Motor,South,Active,Corporate,Agent,31,1,37029.2,306908.54,2,30797.19,11342.04,0,8,6,6,5,2,0,Winter,500000000
POL10054,01/01/2022,Property,Central,Active,Individual,Bancassurance,16,1,30292.33,629849.53,1,22661.69,7872.98,0,3,8,5,3,7,0,Winter,500000000
POL10053,01/01/2022,Fire,West,Active,Corporate,Bancassurance,28,1,90496.59,3883134.18,0,0,21520.09,0,5,1,5,4,8,0,Winter,500000000
POL10052,01/01/2022,Health,East,Cancelled,SME,Bancassurance,6,0,28670.22,491672.5,1,24487.23,6407.79,0,7,4,2,3,1,0,Winter,500000000
POL10051,01/01/2022,Health,West,Active,Individual,Agent,12,1,13859.15,248745.35,1,11835.71,4258.92,0,6,1,6,5,1,0,Winter,500000000
POL10050,01/01/2022,Travel,East,Active,Individual,Agent,10,0,5262.72,308856.79,2,3330.78,1697.75,0,6,2,2,7,2,0,Winter,500000000
POL10069,01/01/2022,Health,West,Active,SME,Direct,1,0,36487.76,449102,1,34969.87,7140.65,0,6,1,3,2,1,0,Winter,500000000
POL10071,01/01/2022,Motor,North,Active,Individual,Agent,1,0,11899.33,126922.62,0,0,3591.22,0,3,2,5,5,1,0,Winter,500000000
