Policy_ID,Date,Product_Type,Policy_Status,Customer_Segment,Distribution_Channel,Policy_Tenure_Months,Renewal_Count,Written_Premium,Sum_Insured,Claim_Count,Claim_Amount,Total_Expense,Fraud_Flag,Anomaly_Flag,Season_Flag,Capital_Reserve,Loss_Ratio,Claim_Frequency,Claim_Severity,Premium_Outstanding,Days_Past_Due,Broker_Exposure,Interest_Rate,Inflation_Rate,Market_Volatility_Index,Data_Quality_Score,Manual_Interventions,Processing_Delay_Days,Hazard_Score,Exposure_At_Risk,Exception_Count,Underwriting_Exception_Flag,Claim_Exception_Flag,Reinsurer_Rating,Expected_Loss,Actual_Loss,State,State_Hazard_Score,Flood_Zone,Cyclone_Zone,Earthquake_Zone,Urban_Rural,Coastal_Flag,Expense_Ratio,Combined_Ratio,Underwriting_Profit,Profitability_Tier,Fraud_Score,Flood_Zone_Score,Cyclone_Zone_Score,Earthquake_Zone_Score,Insurance_Risk,Credit_Risk,Market_Risk,Operational_Risk,CAT_Risk_Exposure,Expected_Claim_Amount_ML,Expected_Loss_Ratio_ML,High_Risk_Prob,AUC,Brier Score,KS Statistic,PSI,VaR (99%),Expected Shortfall,Capital Adequacy,Solvency Ratio,Model Governance & Validation Standards
POL10001,2022-01-01,Motor,Active,Individual,Agent,2,0.0,9630.25,111325.64,1,8530.48,3315.7,0,0,Winter,309672042,0.8858004724695621,3.32691017874823e-05,8530.48,1082.07,77.0,1951.8,7.49,5.54,17.83,100,2,5,3.49796433452214,30057.92,1.0,0,0,AAA,5357.87,5431.55,Madhya Pradesh,3,5,1.0,3,Rural,0,0.34430051140936113,1.2301009838789232,-2215.9299999999994,Loss-Making,81.40406800688835,2.0556895848223684,2.4886688146110254,8.445463273177305,1.7098738438082426,3.9604148156009176,6.216642668663028,4.189075558075722,10514.153212991972,8708.261,0.9042611294813219,0.111426875,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10068,2022-01-01,Motor,Active,SME,Bancassurance,4,0.0,16134.56,177438.17,3,15158.42,4341.81,0,0,Winter,219819236,0.9395000545413076,3.842567942044854e-05,5052.806666666666,4601.81,57.0,5524.48,6.09,5.6,12.95,76,1,4,5.913218716832526,78072.79,1.0,0,0,AAA,12825.59,13758.87,Goa,6,1,2.0,5,Rural,1,0.2690999940500392,1.2086000485913468,-3365.670000000001,Loss-Making,41.445277898433595,6.161369383420091,5.592619592250004,3.812104608492537,1.6470177963014514,4.8224414528918915,5.092602004269051,4.26517990564162,46166.14831033353,14005.221,0.86802619365666,0.015286086,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10067,2022-01-01,Motor,Active,Individual,Online,26,1.0,17295.14,241409.37,3,12103.14,2519.9,0,0,Winter,331151251,0.6998000594386631,2.0043586783820095e-05,4034.3799999999997,3797.98,32.0,5188.22,5.92,5.64,19.8,90,0,0,6.764944992049012,149673.81,3.0,0,0,AAA,11885.86,9869.01,Assam,8,7,3.0,9,Urban,0,0.14569989025818814,0.8454999496968512,2672.1,Good,58.53471662823204,5.237342892725108,7.4920167823899515,9.095365285129999,1.1333653338569307,3.3114603435964938,5.823499465837173,4.858692910524583,101253.50914003952,13120.815,0.758641758880674,0.00025817892,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10066,2022-01-01,Motor,Cancelled,SME,Bancassurance,2,0.0,23691.83,220253.45,2,17351.9,5832.93,0,0,Winter,466766415,0.7324001565096491,5.675280323377472e-05,8675.95,4254.99,13.0,7629.88,7.2,6.89,16.48,84,1,2,2.465263244275367,35240.55,1.0,0,0,A,18125.32,17891.26,Punjab,2,1,1.0,3,Rural,0,0.24620006137136727,0.9786002178810164,507.0,Marginal,40.75221843348383,6.374515197130188,1.2029767810260426,1.7488242432206036,2.1792622589888966,2.694358232568568,6.672031729654519,3.457583628666473,8687.72326230483,17029.732,0.7188019001434249,0.038180236,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10065,2022-01-01,Motor,Active,Individual,Agent,18,1.0,13418.2,116871.79,1,11161.26,3626.94,0,0,Winter,125108518,0.8318000924117989,1.111218775863617e-05,11161.26,628.05,33.0,734.49,6.62,3.5,21.62,93,0,2,7.3676521244953594,89991.28,2.0,0,0,A,7987.7,6865.89,West Bengal,7,9,9.0,5,Urban,1,0.2703000402438479,1.1021001326556468,-1369.9999999999995,Loss-Making,25.425310157469628,6.86210992449917,6.134604085767463,8.341546612210163,1.362735421064234,1.7790043198520014,5.168004411891617,3.0352979078717253,66302.44452780568,9158.683,0.6825567227487666,0.0019952073,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10064,2022-01-01,Property,Active,Individual,Bancassurance,14,1.0,20678.92,679333.94,2,15159.72,4365.32,0,0,Winter,281200789,0.7331001812473766,1.2800261330135316e-05,7579.86,967.74,60.0,576.69,7.59,4.83,11.31,71,0,0,4.131142449977882,156246.81,0.0,0,0,AAA,12033.14,14761.12,Madhya Pradesh,3,3,1.0,3,Urban,0,0.2110999994196989,0.9442001806670756,1153.8799999999992,Good,47.045025789891234,5.090306569029902,8.260192907587642,2.805212773271869,1.1787299648572913,3.1479851238568535,5.129307418465241,3.5802660673684805,64547.78294646287,18849.426,0.9115285412028289,0.00051318185,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10063,2022-01-01,Marine,Renewed,Individual,Direct,37,1.0,61516.12,1836650.6349999998,1,41111.22,12026.4,0,0,Winter,189101225,0.6682999512973185,1.1817896426726655e-06,41111.22,1071.92,3.0,15780.125,6.45,6.37,16.35,93,0,2,4.355568406657657,846174.28,2.0,0,0,A,45349.990000000005,44528.91,Himachal Pradesh,7,4,4.0,8,Rural,0,0.1954999762663835,0.8637999275637019,8378.500000000002,Good,95.09948447074893,4.897273784300972,3.1550261831272426,3.2255420658600658,2.7235390327293363,0.6664767490481318,6.053383707884992,5.474483360415231,368556.996049429,40295.77,0.6550440686319293,0.023476196,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10062,2022-01-01,Health,Active,Corporate,Agent,1,0.0,45233.75,503501.31,5,41868.36,11059.65,0,0,Winter,340977568,0.9256000221073867,3.31015365137422e-05,8373.672,11754.12,87.0,7017.28,5.98,6.61,12.2,97,1,4,4.762241426047013,151050.39,0.0,0,0,BB,26711.22,21914.93,Punjab,2,6,1.0,5,Urban,0,0.24449995854865006,1.1700999806560368,-7694.26,Loss-Making,59.42777154214428,6.776994232062938,9.35141569679921,4.6827972013729156,1.7085860453648314,9.713733790882241,5.5087894016823675,2.780433577053877,71933.84246785575,35964.844,0.7950887058888552,0.208332,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10061,2022-01-01,Health,Active,Individual,Direct,9,0.0,12544.14,190887.95,1,11607.09,2232.86,0,0,Winter,259285942,0.9252997814118784,2.9103752841617665e-05,11607.09,2262.14,58.0,1444.48,6.72,5.93,12.51,96,1,4,4.703811862834527,34359.83,2.0,0,0,A,10034.32,10688.6,Punjab,2,2,3.0,1,Urban,0,0.17800024553297397,1.1033000269448523,-1295.8100000000009,Loss-Making,24.826046227340694,7.628217539693044,3.330231652621006,9.560610121858588,1.7975237205905306,3.7030031874949163,5.491528800367643,3.0643186013351,16162.217595897768,13667.682,1.0895670520757104,0.06314503,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10060,2022-01-01,Property,Active,SME,Direct,3,0.0,36426.22,1343523.17,3,32852.81,6928.27,0,0,Winter,102776230,0.9019000599019057,3.5453689280179964e-06,10950.936666666666,7737.72,28.0,10559.18,6.14,5.32,21.03,71,2,4,7.1468505912182865,846174.28,3.5,0,0,AAA,23957.87,20165.13,Tamil Nadu,7,3,9.0,6,Urban,1,0.1902000811503362,1.092100141052242,-3354.859999999997,Loss-Making,48.84724004829706,5.027558446420137,8.451261999525643,6.755432510145652,1.2082570178389709,5.093529581539152,5.88421579668058,6.643358810767266,604748.1153291708,23921.814,0.6567196501071206,0.00016429649,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10059,2022-01-01,Travel,Active,SME,Agent,9,0.0,8679.44,606111.24,0,0.0,2716.66,0,0,Winter,288875824,0.0,0.0,0.0,53.6,82.0,2903.85,6,7.36,23.62,79,2,5,5.747597329816254,430338.98,1.0,0,0,AA,4964.52,5627.5,West Bengal,7,9,9.0,2,Rural,1,0.31299945618611336,0.31299945618611336,5962.780000000001,Excellent,28.40968900929929,7.582687042495813,4.490384140251019,1.1649154663344363,0.2966855942018333,3.6710185400902957,7.228616375863577,3.7338240306405424,247341.51723638503,-156.6769,-0.018051498154443322,0.0012533171,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10058,2022-01-01,Marine,Active,SME,Bancassurance,23,0.0,64466.825,1836650.6349999998,0,0.0,16522.305,0,0,Winter,376058724,0.0,0.0,0.0,12061.55,5.0,15780.125,7.17,5.68,6.34,74,3,8,4.968325402415161,846174.28,1.0,0,0,A,45349.990000000005,46779.67,Karnataka,5,6,2.0,4,Urban,1,0.25629158873575675,0.25629158873575675,47944.52,Excellent,18.772223094952757,9.16228770383243,2.1037675896810994,1.075571718562275,0.2966855942018333,6.222222222222222,4.844040821688243,4.104764536726871,420406.9170194359,372.6891,0.005781098835161535,6.741079e-05,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10057,2022-01-01,Health,Cancelled,Corporate,Direct,4,0.0,51833.26,895248.03,2,45094.94,7935.67,0,0,Winter,208064165,0.8700000733120008,5.878994133498729e-06,22547.47,12061.55,48.0,6551.66,7.97,5.53,27.31,96,3,7,2.8576998140650907,340194.25,0.0,0,0,A,35811.02,33151.72,Uttar Pradesh,4,6,3.0,4,Rural,0,0.15309995936971743,1.0231000326817181,-1197.3500000000004,Loss-Making,10.585234425538737,3.351574095572097,1.197878179005985,3.739046795747371,1.8760101850586492,8.133333333333333,7.4989671186963776,1.5121983012236924,97217.30449710129,42534.055,0.8205938559044906,0.006077485,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
POL10056,2022-01-01,Health,Renewed,Individual,Direct,1,0.0,20677.62,358051.5,0,0.0,3496.59,0,0,Winter,297127010,0.0,0.0,0.0,1317.2,39.0,7048.69,6.3,6.83,25.02,98,3,8,3.8631066300517762,78771.33,1.0,0,0,AA,12751.51,13199.64,Haryana,2,2,4.0,2,Urban,0,0.16910021559541186,0.16910021559541186,17181.03,Excellent,18.006056977386955,7.315255599096234,3.9646880864047986,5.035589464757846,0.2966855942018333,2.3884927389398274,7.228869906588461,2.4779422418576798,30430.20471809964,3.1985955,0.0001546887661072323,0.0011634595,0.9979534841649423,0.01348675787448883,0.4686610383555262,0.04255103491254045,44626193.79379303,44831206.413619384,2.666378928031055,266.6378928031055,Pass - Compliant
